storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
87f79fb9-7152-46a3-aea3-553fc914b09e,Rude,The man was rude.,The woman took offense.,The man apologized.,The woman accepted the apology.,The two became friends.
71df7a30-ec26-4255-95d0-cc3c7ec7dc87,The Gay Manager,Drew liked Charles and that's why he forced Jim to hire him.,But Jim said Charles wouldn't be a good fit.,Jim was right.,He and Charles didn't get along in meetings.,Charles told Drew Jim didn't like him plus Jim was gay.
359d71f0-be1a-4ea4-bd89-ca1ac0829739,Skin Problems,Cathy realized that her acne was getting progressively worse.,Cathy decided to go to the drug store to get some acne products.,"While there, she saw visited the pharmacist, who recommended items.","Cathy purchased the items, and tried them for a week.","Cathy was pleased with the results, as her acne had gotten better."
2097c935-cc00-439a-8511-0dd70f8cae18,Heimlich Maneuver,The teacher saw the student slumped in the hallway.,He thought the student was choking and couldn't breathe.,The teacher performed the Heimlich Maneuver.,It wasn't until the third try that the student was able to talk.,He explained that wasn't choking but had cracked his ribs in PE.
2872375a-1029-4c70-b0ed-ec09ad842eab,New Pet Toys,Jenn's friend got a new dog.,Jenn was very excited for her.,She wanted to help her celebrate her new pet.,Jenn bought several dog toys as a gift.,Jenn met her friend's new dog and gave it the toys.
7a618a26-fdf1-494b-9c33-b9f6811c5aa3,Rainy Day,Sam wanted to go hiking.,The weather was rainy and windy.,He decided to stay in instead.,He read a book and watched television.,He figured he would just hike another day.
192e33c2-1c99-4f43-84a8-14d9d27f712b,Nothing As Tempting,"Sherri banged on the door, but got no response.",She'd thoughtfully brought a coffee cake over for the new neighbors.,"She pounded on their door some more, and then tried the knob.",It was locked.,"Instead of deterring Sherri, she started checking the windows."
1ce8ec35-89bd-4ec9-aa13-4f83be05e31f,College,It was Amy's first day in class in college.,She was a little nervous since she didn't like crowds or strangers.,She entered class and sat towards the rear.,The girl in the seat next to her introduced herself.,Amy was surprised meeting new people was easier than she expected.
0e8759d6-c19d-42fa-b9aa-60b6c860c25a,Making the packs.,Meredith was at a soup kitchen.,She didn't have anything to do so she offered to volunteer.,They put her to work making care packages.,She put toiletries and such in little bags.,"When she was done, everyone at the center thanked her."
35e4a7f4-c755-470a-9476-834f74025cd2,Don't Smash the Ant Hill,Robert was a mischievous boy.,His parents told him not to play near the ant hills in the backyard.,Robert ignored their warning and approached the ant hill with malice.,"Robert started smashing the hill, causing the ants to land on Robert.","The ants bit Robert, causing him to remember his parent's warning."
f516c703-6153-4564-bf11-0d7a32bf1c69,Evening Kayak Ride,"One warm Summer night, Sue and Renee went for a kayak ride on the lake","To the West, the sun was setting with vibrant colors of pink and gold.","To the East, they could see the moon rising.",They floated into the path of the setting sun on the water.,It was a beautiful way to spend the evening.
96c44f1d-1c92-41e6-81ef-e50ea375c238,Tooth Fairy,Diana's tooth fell out.,She placed it under her pillow before going to sleep.,"In the middle of the night, I placed a dollar under the pillow.",She woke up and removed her pillow.,She was extremely excited.
2e46bd53-6d35-48ad-8cef-8b37c11d359c,Next Big Hit,James was in his garage playing the guitar.,He was trying to write the next big hit song.,He tried out some lyrics and it sounded good to him.,He recorded his song on a tape recorder.,James mailed his song to a record producer and waited.
7e93eee7-a12a-45c4-91a2-6bda6334c4ca,Big Sound,Kate listened to loud music on her laptop.,Her roommate asked her to turn it down.,"Instead, Kate decided to wear headphones.",The music was still too annoying for the roommate.,Kate told the roommate to just wear earplugs and deal with it.
20df514e-aa88-4f19-ade9-f80f5a998f87,Birthday Invitations,All the girls in Allie's class were invited to Beth's birthday party.,"Except for Allie, that is.",That made her very sad.,"The day before, Beth asked her why she hadn't RSVP'd.",Allie was invited but accidentally hadn't gotten an invitation.
2e381505-1680-4e65-b894-bfc7242b1708,Car accident,I have only been in one car accident.,I was driving from Kansas City to Indiana in the snow.,At one point I was on a small two lane road.,A car slid on the ice into my lane and we crashed.,I was not hurt but the car was totaled.
b7523f66-0f03-4243-8b20-48f25dd78c69,Flat Tire,I was driving on the highway.,My tire became flat.,I pulled over.,I called for roadside emergency assistance.,A repairman showed up and repaired my tire!
0f9760ed-9a25-43ec-bdb1-ae14637e2f54,Boat on the Street,The boat trailer was weak from the salt water.,One tire was flat so they were careful taking it to the launch.,They took a bend too fast on the way back with the boat.,The axle missed the turn and broke in half.,The trailer and boat tipped onto the road.
3f687c86-afd4-4fb7-bf15-df94e8324f1b,Designated Driver,Tom was invited out to the bar.,His friends knew he didn't drink.,They wanted him to be the designated driver.,Tom felt they just wanted to save on a taxi.,He declined their invitation.
5ce16d28-eb7f-4f6c-b1fa-9fb0f7de186a,Burn The Country And Give Me Ham,Fred registered to vote in his new state.,He put the political party he despised most as the one he belonged to.,Fred had become very very bitter about politics.,He voted for the candidate he thought was the worst at election time.,"As the United States plummeted into chaos, Fred moved to Canada."
e9ab2444-996f-45cc-8b99-9178232c4a65,Fred Gets Divorced,Fred and his wife Carol have been arguing almost every day.,Fred decides to get away from home one weekend to think.,He visits his brother to discuss his marriage problems.,"When he returns home, Fred tells Carol he wants a divorce.","While they are both sad, they know it is the best thing."
9e3b1f72-549d-49e2-9d51-3eb218f44652,Puppy,I am on my way to pick up a brand new puppy.,"As I sit in the car, I wonder what we will name him.","After some discussion, we finally pick a name, and it is perfect.","When we arrive at the breeder, we choose which puppy we want.",We chose the snuggly puppy.
e1407dcb-0222-4778-bf74-643f868fe538,Guitar,Ana wanted to play guitar.,She signed up for lessons.,At first they were confusing.,Ana could not remember any of the chords!,But soon she grew into a great guitar player.
d0e9fd25-a133-4845-801d-c54783e99be1,Puppy Adoption,Peter wanted to adopt a puppy.,His parents said they would let him as long as he did all his chores.,Peter worked hard to do his chores all week.,That Saturday they went to the pound and picked a puppy.,Peter was happy to have a new companion.
04206a90-88ab-4437-be5b-b89e6766f112,Becoming a Nurse,Jane wanted to be a nurse.,She went to school and studied hard.,She got really good grades.,She did much better than most doctors.,She became a nurse easily.
8af618e5-3034-484f-86c4-2260a4b2675f,That Sinking Feeling,The water looked inviting so Jake jumped in.,Lisa was walking by the lake with her newborn infant.,Jake saw Lisa and beckoned her to join him.,Lisa propped the baby up on some rocks and jumped in.,"Lisa couldn't swim, so Jake had a baby to raise."
aa1d4254-e715-4226-9575-31a8ccef233f,Rainy Day,Tom was out for a jog.,It started to rain a bit.,It was mostly light and fresh.,Tom decided to keep jogging.,He enjoyed the cool misty spray.
f8fdd07a-4874-46f7-8926-cc2da8d6b338,Party,Nita had poor grades.,"She wanted to go to a party that weekend, but her mom hesitated.",She said Nita should not go anywhere until her grades improved.,"But finally, she relented and let Nita go to the party.",Nita was so relieved that her mom had let her go!
2daba35b-8992-4d5c-a94c-c9a2d29eec10,Chess,I played two games against my chess friend this afternoon.,I won both games.,"He plays on FB, which gives you notifications and interrupts the game.","I have the same issue, so I did not feel sorry for him.",That is because he killed me in chess for years.
eaddeefe-b506-4e1c-9902-21fd51b20a26,Disco,I said I hated disco music.,"As retribution, my husband began playing it on youtube.",I tried to get chores done around the house as the music blasted.,"After a few hours, I found myself singing and dancing along.",I turned around to see my husband laughing at my antics.
e31d0867-6559-46fd-8c72-6215f9fb1958,Sassy,Gertrude was liked by no one at school.,She was always yelling and making fun of people.,One day Alice was teased by her all day.,But alice could not take it anymore.,She punched Gertrude right in the nose!
4b550c0f-80d3-4e71-b083-51a61ae3fc6e,Jasper Visits The Museum,Jasper was sick of always spending every day at home.,He decided he should visit the local museum.,At the museum he saw paintings and sculptures.,Jasper had a great day there.,He was glad that he had left the house that day.
47afe2a4-8b3b-4f46-8cfe-5e9746f5287b,New Twist,"For his party, Jim was baking brownies for his guests.",He added some green food dye to make them more unique.,The brownies just turned into an ugly green-brown color.,All his guests were unsure if they should eat them.,Jim ate five in a row to prove that they were still good to eat.
08d6418e-a42e-4acf-89e2-bf20a6aefc25,The Disagreement,Lauren and her husband could not agree on how to split up chores.,She felt she was always cleaning the kitchen.,Lauren then asked her husband if they could alternate every week.,He agreed and said it was a good idea.,Now household chores are distributed evenly.
383ec873-7c9b-4459-b4f0-550d9ac1e1d4,Starstruck,Shelly was excited to see her favorite band in concert.,She was chosen to meet the band backstage.,Shelly got in line to meet the lead singer.,It was Shelly's turn to talk to the man.,She was so nervous that she couldn't speak!
f6095520-b9e8-475a-adeb-1411e7c21c99,Butch,Butch was the pepsi guy where I worked.,He had a crush on me.,He came through my line asking me out.,I always said no.,He finally gave up before I quit.
976ef37d-8d25-43e0-830d-f481c9ee36a6,Big Day,Max and Lana's big day was coming up.,They were getting married in two days.,Lana was very stressed out and Max was nervous.,They ran around nonstop attending to last minute details.,When the time came they had the most wonderful wedding.
7d3d4cd3-0feb-4102-802a-10bd0034acac,Here Comes a Hurricane.,Joe checked the weather app on his phone.,There was a hurricane building on the coast.,"Joe had supplies in his home, but no transportation to evacuate.",He had no choice but to shelter in place.,The tornado headed away from his area and he was safe.
e215f4ae-58a8-49c9-8506-9381be10a258,The Diploma,Leah worked hard for years.,She finally got her diploma!,Her family threw her a big party to celebrate.,Leah hung the diploma on the wall.,She felt so successful!
22c9d3ed-cc2d-44a0-97b0-3fb4367bfb97,The Contest,I used to engage in a lot of contests.,I liked the competition so I did well.,I got sick when I started to get older.,I can't compete in physical competitions anymore.,Because I can't do physical things I started competing at chess.
b63ed68d-a741-4def-9060-fe23dbe0b6ff,Tallahassee Trip,One day Luis went to Tallahassee.,First he went to San Luis de Apalache.,Then he went to the Museum of Florida History.,Then he went to the Capitol building.,He had a great time.
b9e632bb-57dc-4042-a2bf-54f298ac9a99,Hiking Alone,I recently went hiking by myself for the first time.,I was so proud of myself and having fun.,Somehow I got off the path and got lost.,I used my phone's GPS to find my way back onto one of the trails.,I made it back successfully and felt accomplished.
2e9bd863-d292-40dc-adf3-3f13e03039dd,Unseen Dangers on a Walk,My friend was walking her dog when suddenly it howled in pain.,The dog stepped into a poorly placed coyote trap near the sidewalk.,While my friend ran for help the dog managed to pull her foot out.,They went to the vet and the dog's toe had to be amputated.,The dog and my friend are now recovering from a very scary walk.
618b930b-9c60-489e-a582-df9595be3657,Alaska,Charles was on a cruise ship bound for Alaska.,He always wanted to view the Majesty of the great north.,The cruise ship slid through the icy Alaskan sea.,A large whale surfaced near the ship.,Charles was in awe of the majesty as he snapped photo after photo.
855b194d-3532-4d31-9b99-4624c8debca8,The Kittens,Anna loved to garden in her backyard.,She also had a woodpile in the backyard near the garden.,"As Anna was gardening one day, the woodpile started to meow.",She thought it was odd that a woodpile would meow.,"Upon further inspection, Anna found a litter of kittens tucked inside."
8e4f15cd-f85d-4a0b-8fea-79559e4ea23a,Lucky Money,I decided to take a long walk down the street.,"As I started walking, I found $10 on the ground.",I went to the store to spend the $10.,"As I was walking in the store, I found another $7 on the floor!",I was so happy for the whole day because it was my lucky money day.
a564cf81-f9e6-48a7-900e-838a75585559,Broken Heel,Jane was going to the bar.,On the way to the car her heel broke.,Jane's ankle gave out.,She was unable to walk.,Jane had to go to the hospital instead of the bar.
9a2cd710-8d9c-4657-b20f-0ddd6faacf00,Doctor's Bills,Kelly wanted to become a doctor.,So she went to college to learn the skills needed.,When Kelly graduated she had a lot of student loans to pay back.,Luckily Kelly got a job at a really good hospital.,Now Kelly can pay off her student loans.
14908ba6-dc68-41ca-a79e-a5c875e7cb7c,Dire mistakes,Andrea wanted a pet dog.,She wanted one from India.,She booked a flight to India.,After being on the plane for 5 hours she realized something.,She got on the wrong plane.
6d33cfd7-c8be-45b6-a5cd-5be6cb0292c2,Beach Trip,The Grant family packed the car for their trip to the beach.,On the way to the beach they got a flat tire.,The father realized that the spare tire was also flat.,They called the tow truck driver to come help.,They had to go back home without having a trip to the beach.
1ad801a6-6e94-4d43-8478-d413c332f741,The DVD,Emily loved watching movies.,She got a DVD of her favorite movie.,She watched it over and over again.,"Finally, she put the DVD back in the case.",She could recite every line by heart.
c2f61553-7529-4f8a-9cc1-28342580a1b0,Lorrie makes a mistake,Lorrie is a dress designer.,She is asked to make a specific dress for a girls prom.,Lorrie makes the dress just like the girl wanted.,The only problem is the color wasn't right.,Lorrie had made a mistake and made the dress the wrong color.
21aea1d1-6671-4ff9-ad96-a0dbdb43c8f3,Strike out,Jack stepped up to the plate with two outs in the last inning.,There were runners on each base.,The score was tied.,The pitcher threw his best fastball.,Jack swung as hard as he could to no avail.
37880ce5-aba4-4a4f-a41f-678064f200d0,Major Bill,Bill always admired soldiers.,He loved watching their stories in the classic war movies.,Bill went and signed up for the US Marines.,Bill trained hard and did well.,Now Bill is serving as a major in the Marines.
63dd32de-54bc-48ef-a5d0-2e38351c7457,Loud,The keyboard was broken so I had to buy a new one.,The new one I picked turned out to be very cheap.,I typed on it but it drove me crazy.,The keys were extremely loud.,It was obnoxious to everyone.
287424ea-569c-413c-ae5b-37ca6d4f9ea9,Out of Milk,Mary noticed the milk jug was empty.,She did not feel like going to the grocery store.,She asked her husband if he could pick some on his way home from work.,He agreed to buy a gallon of skim milk.,Mary was happy she didn't have to go to the store.
4c0a4512-7c93-4417-bef4-504a03a594a1,The Ferry,My friend picks me up as we head out to the pier.,We decided on heading over to Coney Island for the day.,As we board the ferry we look around all giddy.,"The take-off is smooth, and we're there within an hour.",As we step off the ferry and look around we take off east for hot dogs.
14ea2645-83d8-447e-a1ba-ad223531f4cd,Praying,Maria was not especially religious.,But when her mom died she started praying a lot.,She'd stay in contemplation for hours at a time.,Until one day she felt the presence of her mother by her side.,She smiled and thanked God for making her wish come true.
a16c774d-ec52-4d8a-9e0f-45bdf96c0b83,Suzanne's pies,Suzanne makes great pies.,She's so good at baking pies that people would hire her for holiday's.,The pies were so good that people started to order them regularly.,Suzanne is selling pies 7 days a week.,She's booked to sell pies until the end of the year!
fcf07c1a-9397-46ab-9bc3-a7b012f310d9,The Unwanted Puppy,All of the litter of puppies had gone to an new home except one.,Because it was the runt of the litter nobody wanted her.,The people were trying to give her away outside of the grocery store.,Since nobody wanted her a kind woman decided to take the puppy home.,Finally the unwanted puppy had a home.
d3f080db-b3f9-4faa-968e-1f01f4b27de0,Viral Baby Dance,Tom was desperate to be the next Youtube sensation.,He spent weeks trying to teach his year old twins to dance.,One day the adorable twins busted out with some amazing moves.,Tom scrambled for his smart phone to record the moment.,Sadly as the recording started the babies reverted back to idle coos.
d483a3f3-c0ab-450c-af50-fce300411d0e,Cruel Kids,I was biking around in 1963.,I saw two older kids approaching a cat.,They grabbed the cat by the paws and threw her ten feet away.,The cat landed on its feet and ran away.,I was only ten but was angry at the kids.
feeb7b5e-7999-4039-a15e-f1f0f4766d16,Refund,Juan and his father were doing yard work outside.,But their lawn mower stopped working.,Juan's father couldn't fix it.,The lawn mower turned out to be defective.,And they got a free refund and a future discount.
fd26640f-dfeb-4b20-905b-1e825e8da6c6,Air Out The Basement,Kate wanted to basement to smell fresh.,But nothing could cover up the musty basement smell.,She would have to open the windows to get fresh air in.,But the snow was piled so high all you could see was snow.,She realized she would have to go outside and remove the snow.
d1cef77e-2d7d-4b1d-8882-f258a162e065,PO,My friend works in a government purchasing office.,He was asked to issue an order for work already performed.,At a seminar he was told this was illegal.,His boss pushed him to issue the order.,He called the press.
c2f31eb4-4328-494a-a34f-016e0f17d78e,Makeup Fail,Denise needed her makeup done for her sister's wedding.,Denise had hired a makeup artist from Craigslist to do the job.,The makeup artist worked on Denise's face for the wedding.,"However, when Denise looked in the mirror she did not like it.",Denise could not believe she would have bad makeup for the wedding.
7f6c6d73-2f9d-4f88-8d52-65691cfcf9b2,Shopping,Lyndi loved to go shopping with her daughters.,Her favorite store was Walmart.,She would go to Walmart with the girls to buy them clothes.,They liked trying on different outfits.,They picked six different outfits each and bought them for school.
a668c1ee-2356-4389-a854-aef3a36165d6,Camryn's Clothes,Camryn loved to spin silk into clothes.,One day a fancy businesswoman walked into her store.,She loved her designs and patterns.,She offered to buy her whole inventory!,Camryn went home with a check for thousands of dollars!
b8f43799-58c8-4dca-9efa-d888219dbb96,Red Wine,Martin had a party for his friends.,He just bought a nice house.,He had white furniture and white carpets everywhere.,His friend accidentally poured a red wine on the carpet.,"Martin did not seemed to care too much, he can afford to buy a new one."
c6010300-341c-4361-8b54-ed9ecbd82e34,Pool,Charles had always been the best pool player in his group of friends,"One day, a new person appeared and challenged Charles to a game","They had a good game, but Charles lost in the end",He realized that he didn't always have to be so competitive,"He became a better friend to his friends, and a better person"
adb6892b-9ef8-40d5-a6aa-552f7ae5fc08,Chased across the Street,Dan's father walked with him and his friends across the neighborhood.,It was Halloween and they were looking for candy.,A man in a Scream costume suddenly ran towards them.,They chased everyone across another street.,"Once Dan dropped his candy, the man took it and ran away."
922ffc8b-4f18-4669-916c-f42c8d10f55c,Deer,I saw a deer crossing the street.,"I stopped walking, so as not to frighten it.",I was amazed by how beautiful the deer was.,The deer eventually left my view.,I was so pleased to have seen such a beautiful animal.
1af18622-2064-476f-bd8c-816cd22e23f7,Petra,Neil went to the ruins of Petra in Jordan.,His guide told him about Petra's history.,He also walked Neil through the ancient streets.,Neil took many photographs of Petra.,He thought the ancient site was awe-inspiring!
c4649092-5b43-4697-b45e-0305d8b2e5ee,Short visit,Lucius wanted to visit London.,He only had one day to see everything that mattered to him.,He woke up very early in the morning and walked all day.,He stopped in a restaurant at night and then went to a concert.,When he went back home he was happy to have seen London.
5acb97de-a438-4dc4-8771-f6b022311a05,A Smelly Mystery,"Doris was troubled by an odd, unexplainable smell in her house.","She checked the fridge and the drain, but they weren't the source.","She cleaned her closets, looking for mold, but found none.","Finally, she discovered a dead squirrel underneath her porch.","She called animal control and they took care of it, and the smell."
b751714c-5e34-43ac-8e70-c675bddc613c,Hit by lightning,My mother and I were hit by lightning.,We both had just gotten into the car.,The entire car shook for a few seconds and all the window lit up.,We both couldn't believe it and looked at each other.,Then we drove away.
ced44fba-37b0-4bda-8d5c-dc9f55501f93,First Car,I was sixteen.,My grandmother gave me her old sports utility vehicle.,It was a 1997 Mercury Mountaineer.,I had to wait a couple weeks for my license.,Four years later I wrecked it.
f619afe4-1712-4e03-8b46-fa82c0dd1513,The House Next Door,Alex just bought a new house!,The house he bought is down the street from his parents.,At first Alex was hesitant about moving next store to his parents.,Although he soon realized how expensive everyday things are.,So now he just borrows mostly everything he needs from his parents.
068c9fb5-d315-4fd7-a48e-ecb269eb9d47,Neighbor,Margaret had a strange neighbor.,He was an old man who liked to play the clarinet.,One day Margaret decided to ask him about his clarinet.,They ended up talking for hours.,Margaret decided he wasn't so strange after all.
edad1997-ccd4-4965-98d3-2fda97de3e5a,Shore Fishing,Terry and his buddy Mark were going fishing.,They went to the store and got some bait before heading out.,At the beach they began casting their lines into the surf.,"Mark was the first one to catch a fish, but Terry got one too.","They kept fishing well on into the evening, having fun."
25906477-116f-4661-a274-038125867e4c,The Haunted House,"When I was a kid, I lived by a spooky home.",The kids in my neighborhood joked that it was haunted.,"One day, we got the idea to try to get inside of it.",We snuck out one night and tried to get in.,"Our parents caught us and called my phone, so I went home."
a35fd5fe-a31b-4b17-a73a-693738df7a30,Geo Metro,Our second car was a Geo Metro.,It was a small hatchback.,It had only three cylinders.,"One day a cylinder broke, but the car could still run.",After seven years we had to buy a new car.
53820830-a550-48f7-9ec2-986a0e292dec,Short Shorts,Kate bought a new pair of shorts.,They were smaller than she expected.,She tried to wear them out with friends.,They told her that her buttcheeks were hanging out.,Kate went home to change.
eec7c11a-6c48-44bf-9d88-fdff44a36829,The diet,Mark realized he was overweight and decided to go on a diet.,He bought some sugar-free cream that was 10 calories a serving.,Every day he would pour this cream into his coffee.,After a month he found out that he gained 10 pounds.,"The label said it was 100 calories, not 10, thanks to a smudge on it."
846eec41-4704-4b98-8676-e50dcacddcac,Space Heater,Bertie moved to the midwest.,He found the summers pleasantly temperate and sunny.,He found the winters brutally cold and unpleasant.,He invested in a space heater for his room.,It was insufficient and he had to sleep in many layers.
0ece7d95-706b-4f04-ae93-6ab5a163a11a,New Job,I needed a new job.,I decided to apply for a grocery store cashier job.,I went in for an interview.,I answered every question with confidence.,It turns out they wanted someone with more experience.
498175d0-6a7d-40db-a5a9-c9fd57c893a0,The Gym,Kay wanted to lose some weight.,She decided to join a gym.,She went to the gym 4 days a week for 2 months.,After 2 months she weighed 20 pounds less.,Amy was encouraged by her hard work and kept working out.
6df961e0-5c47-40f4-8a7e-013261a07d4e,Overheating Car,Sean's car started overheating.,He remembered a trick to cool it down.,He turned on his heater to max.,It helped keep the car going until he got to a mechanic.,Once at the mechanic it was fixed up promptly.
91c965fe-ebc1-4a63-9cc3-fea32018c627,Cigar,Jim Bob was smoking a cigar.,He absentmindedly sat down the cigar on a stack of newspapers.,He then fell asleep on the couch.,He awoke to smoke.,Jim Bob ran outside and saw his house go up in flames.
4f80bb02-3e2a-446d-a060-49aaefbe36e8,cotton candy,Ana went to the carnival.,She was looking for cotton candy.,But she couldn't find any anywhere!,Then she asked an employee to show her where it was.,Ana was happy to finally get her cotton candy.
6f7a7045-9f3c-4124-9aa4-66142f395d1d,Combovers are good for a marriage,Ryan had a combover.,"Everyone noticed, and his wife told him to shave his head.","One day he bought a razor, and shaved it off.",Ryan started getting looks from other women.,"He eventually cheated on his wife, and they got a divorce."
3b24c760-2a4f-4e52-9c98-16354557a344,Wrong Direction,Sammy suffered from anxiety during the baseball game.,The first two pitches served to him ended up in strikes.,He ended up hitting the last pitch.,"However, he ran in the opposite direction of the first base.",He was immediately out when the base guard had the ball.
51946f4c-ae64-4a6c-ab43-ed6ca3eb6436,The first date,Jack asked Amy to go on a date.,Amy agreed to go on a date with Jack.,Jack picked Amy up at her home.,They enjoyed the food at an Italian restaurant.,Jack was pleased the date went very well.
991295d3-094e-4edb-8722-b62c0458f1e4,The Jungle,Dave wanted to explore the jungle.,He was told to take insect repellant.,Dave thought he could do without it.,"After the end of the day, he went to bed.",But he couldn't sleep because of the mosquitoes.
47d347ec-42d0-4444-88e1-695af8022234,donuts,Ben asked his mom to bring a snack home.,She said she would stop on her way home from work.,He was so happy when she came in.,He looked to see what she had brought.,She had brought home a dozen donuts!
b9d85fa4-883c-4768-a267-d5d170783475,Ballet,I was a ballerina as a young girl.,I did ballet for about 11 years.,I felt I was ready to do pointe shoes.,My school said I was too young and my feet weren't ready.,"I was so upset, I quit ballet for good."
c4c1b34a-ddda-47b2-8991-b81388964b54,Passport,Pat went to Canada on a fishing trip.,He had a great time and caught many fish.,"Pat tried to go home, but couldn't get back across the border.",He didn't have a passport and wasn't allowed back in.,Pat had to go through a mess of legal work to go home.
23baa6f0-8225-4e3e-b0ed-78233687a2f4,Soda Cans,James collected soda cans.,Wherever he went he would find them and store the cans in the garage.,One day his mom asked if he was going to return them for cash.,James didn't realize that the cans were worth money.,James now owns a recycling business.
da7f746f-cd28-40af-9d72-96f97009ccd1,Our new house,After 18 years if was finally time to leave our first house.,We started looking for new houses in March.,By August we had visited 44 houses.,We found the perfect house just three miles away.,We moved in and have loved every day here.
a164b28f-d5c2-44db-89aa-0fd4796c78ac,Birthday Surprise,Joan sent her son on a camping trip with the school.,"While he was gone, she cleaned out the spare bedroom.",She moved all of his things from the room he shared with his brother.,She set up his computer and arranged his new furniture.,"She opened the door to his new, own, room and yelled, ""Surprise!"""
d44f78f3-7f53-4fdc-a474-3f11d4a3fe5a,Baby Sitting,My buddy asked me to babysit his two year old son tonight.,I have never watched a kid in my life but I agreed to help.,He dropped him off and I showed him my xbox.,Turns out that a two year old can enjoy playing video games.,We had a great time and I told my buddy I'd babysit again sometime.
ffd6ca5f-b110-43f9-85c0-3c8871680df1,Wrongful accusations,Damien was outraged at the wrongful accusations he received at work.,He denied all of them in front of a committee.,But the allegations tainted his relationships with his co workers.,Everyone looked at him strangely as if he had done something awful.,And eventually he had to quit to escape the mistrust among his peers.
1bb377d1-5980-4dc8-8f45-ee44e0d381e8,New Dog,The Allens got a new dog.,They finally decided on a lab.,They named her Susie.,Susie went everywhere with them.,She was a perfect family dog.
a4115e2a-f57c-4927-94c9-c5f5343a7e02,The Suburbs Aren't The City,A friend who lives in Chicago is letting me stay with her.,"There's a convention in town, so I thought it would be great.","Except to her, living in Chicago means the suburbs of Chicago.",So now I have an hour and a half commute every day.,I should have just rented a hotel room closer to the city.
4d1662a5-b249-4c55-9aff-6069af5a31c5,Turtle,I found a turtle in the backyard.,We named him after a backyardigan.,We now allow him to live back there.,We bring him food every day.,The kids love visiting our turtle in the yard.
703e077b-4347-422d-b3e6-4ad172d0d593,Passing The Bar,Jim had always wanted to become a lawyer.,He grew up watching crime shows.,All he had left was to pass the bar exam.,He was confident that all his studying would pay off.,He got a great score!
e34f7a16-a320-4039-95e0-949f942c2f22,Kidney,Miley's sister needed a kidney transplant.,"Miley was a match, so she offered to donate hers.","She was counseled extensively, but stuck to her decision.","After their surgeries, the girls recovered together.",Both girls healed and were healthy again in no time!
bef2205c-f0c4-40b5-a32e-fa8d4628fb92,Sisters Stolen Bear,When my sister was a kid she had a teddy bear that she loved.,She would sing to it and rock it.,One day the Salvation Army came by looking for donations.,My mom said we don't have anything but you can have this bear.,My mom did mean things like that just to hurt us.
2409e105-7456-4183-a514-f83ce8c7d9d6,New flavor,"As part of a trip, Kelli and her friend went to the ice cream factory.",The girls were able to create their own flavors.,They tasted very good.,"Immediately when they flavors were created, the girls packaged them.",They got to take them home after.
69309e76-940d-40e0-9b4b-a7d61f564e35,Loss of studying time,"After I finished dinner, I tried to do some online research.","However, I ended up falling asleep on the couch.",My mom came home from work late.,"When she saw me on the couch, she got mad.",We ended up fighting with each other.
f51eb6e9-6836-4a56-8c70-ac4b986f6a87,Baxter gets a million,Baxter is looking through the trash.,Baxter is a homeless man.,He has been very lonely and is very hungry.,While scrumming through the trash he sees a bag.,The bag has a million dollars he takes it and buys a house.
43327a17-ce6a-49f2-8b7a-ac085bb396ce,Chess,Andrew loved playing chess against his brother.,Andrew's brother always beat Andrew.,But Andrew was ready for his brother.,Andrew went to his brothers house to play chess.,Andrew finally beat his brother at chess.
d4f9f3b5-8e86-479f-b679-dd1dbf5fedc8,drunk wedding,A man went to a wedding.,He had a lot to drink.,One of the bridesmaids also had a lot to drink.,They met each other drunk.,They spent the night with each other.
671b2453-81fb-4e84-bdc6-f2c00e856da3,Water,Tom was walking through his apartment.,He kicked over a bottle of water.,He got his sweatshirt wet.,He tried to dry the water soaked area.,He did his best to clean it up.
fe458336-605f-49f2-9635-a54e56deff9c,Diver,Anna was diving with her friends.,Then her air line snagged.,Anna could not breathe!,She hurried up to the surface.,"There, she untangled her line."
b909e218-c994-48bb-8079-d54ff3ccb5a2,Fat Basketball Players,Josh and Terry went to play basketball at a local court.,There were a couple of guys already there.,Josh and Terry challenged them to a game.,"The guys chuckled at Josh and Terry's chubby bodies, and agreed.",They weren't laughing after John and Terry beat them.
6870be67-3847-4395-8267-6ed1e20ead6e,Jogging in the morning,I always go jogging in the morning.,I make sure not to skip a day without jogging.,Jogging helps me to keep up with my daily activities.,It makes me increase my stamina and energy.,It makes me physically fit and healthy.
4f7ac3ad-24d0-4aff-9ec5-2955ded4f707,John's New Puppy,John stopped for a hot dog on the way home from work.,A small dog began following him from the hot dog stand.,John split his hot dog with the puppy.,He decided he liked the dog.,John took the puppy home with him.
b144e685-5226-47f7-9ade-1aacfa9776ff,The Soap,Andrew liked being clean.,He bought a new box of soap.,He smelled it as he took a shower.,He felt refreshed.,The new soap had a great crisp scent.
64d4023d-beab-45dc-aab3-bfbeeb76020f,Tasty almonds,Yesterday at the store I picked up some spicy almonds.,I was not sure how they would taste.,To my delight they were delicious.,I immediately went out to buy more.,I also recommended them to my friends.
7179b0a9-8641-4407-aece-415cf73b5eee,The Free Trip,Justine was eating her lunch.,She opened her soda and saw a winner message on it.,The soda company was hosting a sweepstakes and she had won.,Her prize was a free family vacation.,She took her kids and husband and had the time of her life.
